match_date,home_team,away_team,predicted_home_win_prob,predicted_draw_prob,predicted_away_win_prob,predicted_outcome,predicted_home_goals,predicted_away_goals,actual_outcome,actual_home_goals,actual_away_goals,odds_matched,odds_source,bookmaker_odds_used,payout,profit,cumulative_profit,home_win_implied_prob,draw_implied_prob,away_win_implied_prob,home_win_edge,draw_edge,away_win_edge,best_edge,bet_recommendation
2018-06-27,Serbia,Brazil,0.15333239671644425,0.2577106907655061,0.5889569025839422,0,0,1,0,0.0,2.0,False,stub_2.0,2.0,2.0,1.0,3.0,0.5,0.5,0.5,-0.3466676032835557,-0.24228930923449388,0.08895690258394218,0.08895690258394218,Value
2018-06-27,Switzerland,Costa Rica,0.633385542186127,0.23418488357561495,0.13242956927120447,2,1,0,1,2.0,2.0,False,stub_2.0,2.0,0.0,-1.0,2.0,0.5,0.5,0.5,0.13338554218612697,-0.26581511642438505,-0.3675704307287955,0.13338554218612697,Value
2018-06-28,Japan,Poland,0.29397195517721086,0.19267915095320418,0.5133488789684236,0,1,1,0,0.0,1.0,False,stub_2.0,2.0,2.0,1.0,3.0,0.5,0.5,0.5,-0.20602804482278914,-0.3073208490467958,0.013348878968423628,0.013348878968423628,Neutral
2018-06-28,Senegal,Colombia,0.2729086605063956,0.29844659615307323,0.42864475327463886,0,1,1,0,0.0,1.0,False,stub_2.0,2.0,2.0,1.0,4.0,0.5,0.5,0.5,-0.22709133949360438,-0.20155340384692677,-0.07135524672536114,-0.07135524672536114,Avoid
2018-06-28,Panama,Tunisia,0.2304182961577127,0.22067936054682344,0.5489023333613565,0,1,1,0,1.0,2.0,False,stub_2.0,2.0,2.0,1.0,5.0,0.5,0.5,0.5,-0.2695817038422873,-0.27932063945317653,0.04890233336135652,0.04890233336135652,Neutral
2018-06-28,England,Belgium,0.2635381034598949,0.28718383575337003,0.4492780409185202,0,1,1,0,0.0,1.0,False,stub_2.0,2.0,2.0,1.0,6.0,0.5,0.5,0.5,-0.23646189654010508,-0.21281616424662997,-0.050721959081479806,-0.050721959081479806,Avoid
2018-06-30,France,Argentina,0.33913707134530674,0.2835633838173428,0.37729954483735023,0,1,1,2,4.0,3.0,False,stub_2.0,2.0,0.0,-1.0,5.0,0.5,0.5,0.5,-0.16086292865469326,-0.2164366161826572,-0.12270045516264977,-0.12270045516264977,Avoid
2018-06-30,Uruguay,Portugal,0.29227682860767007,0.2771976457164384,0.43052553560999873,0,1,1,2,2.0,1.0,False,stub_2.0,2.0,0.0,-1.0,4.0,0.5,0.5,0.5,-0.20772317139232993,-0.2228023542835616,-0.06947446439000127,-0.06947446439000127,Avoid
2018-07-01,Russia,Spain,0.18362952791520176,0.22390934656724357,0.5924611106163934,0,1,1,1,1.0,1.0,False,stub_2.0,2.0,0.0,-1.0,3.0,0.5,0.5,0.5,-0.31637047208479824,-0.2760906534327564,0.0924611106163934,0.0924611106163934,Value
2018-07-01,Croatia,Denmark,0.3504892739704889,0.3521295140880881,0.2973812218755303,1,1,1,1,1.0,1.0,False,stub_2.0,2.0,2.0,1.0,4.0,0.5,0.5,0.5,-0.1495107260295111,-0.14787048591191188,-0.2026187781244697,-0.14787048591191188,Avoid
2018-07-02,Brazil,Mexico,0.49958723807173494,0.31008456926112804,0.19032820260124425,2,1,0,2,2.0,0.0,False,stub_2.0,2.0,2.0,1.0,5.0,0.5,0.5,0.5,-0.00041276192826505964,-0.18991543073887196,-0.3096717973987557,-0.00041276192826505964,Neutral
2018-07-02,Belgium,Japan,0.5891082855271867,0.2605037284314153,0.1503879984590319,2,1,0,2,3.0,2.0,False,stub_2.0,2.0,2.0,1.0,6.0,0.5,0.5,0.5,0.08910828552718675,-0.23949627156858472,-0.3496120015409681,0.08910828552718675,Value
2018-07-03,Sweden,Switzerland,0.28515964191223664,0.31069855467537455,0.4041417835441738,0,1,1,2,1.0,0.0,False,stub_2.0,2.0,0.0,-1.0,5.0,0.5,0.5,0.5,-0.21484035808776336,-0.18930144532462545,-0.0958582164558262,-0.0958582164558262,Avoid
2018-07-03,Colombia,England,0.2711385994187869,0.3079818969091422,0.4208794937379636,0,1,1,1,1.0,1.0,False,stub_2.0,2.0,0.0,-1.0,4.0,0.5,0.5,0.5,-0.22886140058121313,-0.19201810309085782,-0.07912050626203643,-0.07912050626203643,Avoid
2018-07-06,Uruguay,France,0.2846042281983312,0.307399179572705,0.4079965922289639,0,1,1,0,0.0,2.0,False,stub_2.0,2.0,2.0,1.0,5.0,0.5,0.5,0.5,-0.2153957718016688,-0.19260082042729498,-0.0920034077710361,-0.0920034077710361,Avoid
2018-07-06,Brazil,Belgium,0.4121872303951937,0.28220779861469375,0.3056049610560049,2,1,1,0,1.0,2.0,False,stub_2.0,2.0,0.0,-1.0,4.0,0.5,0.5,0.5,-0.08781276960480627,-0.21779220138530625,-0.19439503894399512,-0.08781276960480627,Avoid
2018-07-07,Sweden,England,0.29716807098530207,0.2924664668786786,0.4103654820042343,0,1,1,0,0.0,2.0,False,stub_2.0,2.0,2.0,1.0,5.0,0.5,0.5,0.5,-0.20283192901469793,-0.2075335331213214,-0.08963451799576572,-0.08963451799576572,Avoid
2018-07-07,Russia,Croatia,0.21432818030401996,0.25457969474742437,0.5310921199815022,0,0,1,1,2.0,2.0,False,stub_2.0,2.0,0.0,-1.0,4.0,0.5,0.5,0.5,-0.28567181969598004,-0.24542030525257563,0.031092119981502186,0.031092119981502186,Neutral
2018-07-10,France,Belgium,0.32811641893256427,0.2764871191324706,0.3953964520008576,0,1,1,2,1.0,0.0,False,stub_2.0,2.0,0.0,-1.0,3.0,0.5,0.5,0.5,-0.17188358106743573,-0.2235128808675294,-0.1046035479991424,-0.1046035479991424,Avoid
2018-07-11,Croatia,England,0.27487321475972215,0.25580705061630854,0.46931971475575435,0,1,1,2,2.0,1.0,False,stub_2.0,2.0,0.0,-1.0,2.0,0.5,0.5,0.5,-0.22512678524027785,-0.24419294938369146,-0.030680285244245653,-0.030680285244245653,Neutral
2018-07-14,Belgium,England,0.36470678942168244,0.26110849345424436,0.3741847270581804,0,1,1,2,2.0,0.0,False,stub_2.0,2.0,0.0,-1.0,1.0,0.5,0.5,0.5,-0.13529321057831756,-0.23889150654575564,-0.1258152729418196,-0.1258152729418196,Avoid
2018-07-15,France,Croatia,0.49258052277939346,0.2619497237521222,0.2454697733366989,2,1,1,2,4.0,2.0,False,stub_2.0,2.0,2.0,1.0,2.0,0.5,0.5,0.5,-0.007419477220606541,-0.23805027624787778,-0.2545302266633011,-0.007419477220606541,Neutral
